x,y
-6.129032373428300318e-01,4.514745420963322802e-07
-6.097468709292432898e-01,4.872134239056222782e-07
-6.065905045156565478e-01,5.220503436092973941e-07
-6.034341381020698059e-01,5.556112494968097726e-07
-6.002777716884830639e-01,5.875119601952427494e-07
-5.971214052748963219e-01,6.173526619390307015e-07
-5.939650388613095799e-01,6.447172533947879284e-07
-5.908086724477227270e-01,6.691796819272709704e-07
-5.876523060341359850e-01,6.903183750109889140e-07
-5.844959396205492430e-01,7.077385539566937520e-07
-5.813395732069625010e-01,7.211008315232403247e-07
-5.781832067933757591e-01,7.301532596260337663e-07
-5.750268403797890171e-01,7.347631024182989881e-07
-5.718704739662022751e-01,7.349442026551637700e-07
-5.687141075526155332e-01,7.308759516280871796e-07
-5.655577411390287912e-01,7.229105538634388641e-07
-5.624013747254420492e-01,7.115664161344864196e-07
-5.592450083118553072e-01,6.975069510518251892e-07
-5.560886418982684543e-01,6.815056994049861271e-07
-5.529322754846817123e-01,6.644002596724533490e-07
-5.497759090710949703e-01,6.470388897952012498e-07
-5.466195426575082283e-01,6.302246585709192619e-07
-5.434631762439214864e-01,6.146625497579081486e-07
-5.403068098303347444e-01,6.009148852766460801e-07
-5.371504434167480024e-01,5.893698140091532528e-07
-5.339940770031612605e-01,5.802264493029382478e-07
-5.308377105895745185e-01,5.734986315474110338e-07
-5.276813441759877765e-01,5.690373961313729001e-07
-5.245249777624010346e-01,5.665702358297782798e-07
-5.213686113488142926e-01,5.657533743808584159e-07
-5.182122449352274396e-01,5.662317249295718236e-07
-5.150558785216406976e-01,5.677001747238712635e-07
-5.118995121080539557e-01,5.699594470353040243e-07
-5.087431456944672137e-01,5.729601071902256876e-07
-5.055867792808804717e-01,5.768292912359307373e-07
-5.024304128672937297e-01,5.818763573771127132e-07
-4.992740464537069878e-01,5.885757389392070113e-07
-4.961176800401202458e-01,5.975276079878344723e-07
-4.929613136265335038e-01,6.093993038066846952e-07
-4.898049472129467063e-01,6.248525957897532212e-07
-4.866485807993599644e-01,6.444635104796573035e-07
-4.834922143857732224e-01,6.686424767048783383e-07
-4.803358479721864804e-01,6.975628170010982928e-07
-4.771794815585996830e-01,7.311051055561391400e-07
-4.740231151450129410e-01,7.688236776478854122e-07
-4.708667487314261990e-01,8.099397483578324014e-07
-4.677103823178394570e-01,8.533633771490850852e-07
-4.645540159042527151e-01,8.977441328773061141e-07
-4.613976494906659731e-01,9.415480074252097789e-07
-4.582412830770792311e-01,9.831561040638838330e-07
-4.550849166634924892e-01,1.020979045002149721e-06
-4.519285502499056917e-01,1.053579990983337494e-06
-4.487721838363189497e-01,1.079798665577951910e-06
-4.456158174227322077e-01,1.098868790822491276e-06
-4.424594510091454103e-01,1.110521791111158839e-06
-4.393030845955586683e-01,1.115070411059784486e-06
-4.361467181819719263e-01,1.113466922490747049e-06
-4.329903517683851844e-01,1.107331781830909416e-06
-4.298339853547984424e-01,1.098949879485773145e-06
-4.266776189412117004e-01,1.091232856476456240e-06
-4.235212525276249584e-01,1.087647327850401194e-06
-4.203648861140382165e-01,1.092110235539059664e-06
-4.172085197004514745e-01,1.108853949117554420e-06
-4.140521532868646770e-01,1.142265135563417205e-06
-4.108957868732779350e-01,1.196702820058955585e-06
-4.077394204596911931e-01,1.276302444464761828e-06
-4.045830540461043956e-01,1.384774072526899630e-06
-4.014266876325176536e-01,1.525204146445136385e-06
-3.982703212189309117e-01,1.699871294195950560e-06
-3.951139548053441697e-01,1.910087507579967094e-06
-3.919575883917574277e-01,2.156076398664606751e-06
-3.888012219781706857e-01,2.436899997196333137e-06
-3.856448555645839438e-01,2.750444451364510415e-06
-3.824884891509972018e-01,3.093472830419176298e-06
-3.793321227374104598e-01,3.461749856658177468e-06
-3.761757563238236624e-01,3.850238797693713230e-06
-3.730193899102369204e-01,4.253365090024752003e-06
-3.698630234966501784e-01,4.665334921966884699e-06
-3.667066570830633809e-01,5.080490578968495162e-06
-3.635502906694766390e-01,5.493678627370466898e-06
-3.603939242558898970e-01,5.900602853439318683e-06
-3.572375578423031550e-01,6.298132112935804027e-06
-3.540811914287164130e-01,6.684534522000818010e-06
-3.509248250151296711e-01,7.059614036669380300e-06
-3.477684586015429291e-01,7.424733285482462103e-06
-3.446120921879561316e-01,7.782716907732767847e-06
-3.414557257743693897e-01,8.137641526454776958e-06
-3.382993593607826477e-01,8.494530436841672523e-06
-3.351429929471959057e-01,8.858981565569027576e-06
-3.319866265336091637e-01,9.236764799454402807e-06
-3.288302601200224218e-01,9.633428272065280005e-06
-3.256738937064356243e-01,1.005395204470032674e-05
-3.225175272928488823e-01,1.050248188461313217e-05
-3.193611608792621404e-01,1.098216625653965068e-05
-3.162047944656753984e-01,1.149510750517581680e-05
-3.130484280520886564e-01,1.204242519986023790e-05
-3.098920616385019144e-01,1.262441754405248460e-05
-3.067356952249151170e-01,1.324079726306417657e-05
-3.035793288113283750e-01,1.389097268781417674e-05
-3.004229623977416330e-01,1.457434343998247021e-05
-2.972665959841548911e-01,1.529058306822442706e-05
-2.941102295705681491e-01,1.603988737402644235e-05
-2.909538631569813516e-01,1.682317565500664796e-05
-2.877974967433946096e-01,1.764224105821658199e-05
-2.846411303298078677e-01,1.849985407800007895e-05
-2.814847639162211257e-01,1.939982868486085613e-05
-2.783283975026343837e-01,2.034706293751594057e-05
-2.751720310890476417e-01,2.134756520807009237e-05
-2.720156646754608443e-01,2.240847400583781838e-05
-2.688592982618741023e-01,2.353807497468427817e-05
-2.657029318482873603e-01,2.474581431348917172e-05
-2.625465654347006184e-01,2.604230483054248017e-05
-2.593901990211138764e-01,2.743931982624394522e-05
-2.562338326075271344e-01,2.894977107455712332e-05
-2.530774661939403369e-01,3.058766972009967341e-05
-2.499210997803535950e-01,3.236807177625133697e-05
-2.467647333667668530e-01,3.430701175325588198e-05
-2.436083669531801110e-01,3.642142762926849179e-05
-2.404520005395933691e-01,3.872907736611006109e-05
-2.372956341260066271e-01,4.124844178203813916e-05
-2.341392677124198296e-01,4.399860203264328911e-05
-2.309829012988330876e-01,4.699907410505857816e-05
-2.278265348852463457e-01,5.026957974591692534e-05
-2.246701684716596037e-01,5.382973498343463056e-05
-2.215138020580728617e-01,5.769864491936083024e-05
-2.183574356444861198e-01,6.189440661182599710e-05
-2.152010692308993223e-01,6.643353917347614925e-05
-2.120447028173125803e-01,7.133037904432305203e-05
-2.088883364037258383e-01,7.659649543638408036e-05
-2.057319699901390964e-01,8.224019279740321729e-05
-2.025756035765523544e-01,8.826617104905614287e-05
-1.994192371629655569e-01,9.467540880127028478e-05
-1.962628707493788149e-01,1.014653198157030326e-04
-1.931065043357920730e-01,1.086302104418240095e-04
-1.899501379222053310e-01,1.161620387303296295e-04
-1.867937715086185890e-01,1.240514484414195458e-04
-1.836374050950318471e-01,1.322890273360292262e-04
-1.804810386814450496e-01,1.408667224605940783e-04
-1.773246722678583076e-01,1.497793378240512617e-04
-1.741683058542715656e-01,1.590260424390197379e-04
-1.710119394406848237e-01,1.686118278790186100e-04
-1.678555730270980817e-01,1.785488714419255368e-04
-1.646992066135113397e-01,1.888577798063836757e-04
-1.615428401999245422e-01,1.995687044831984320e-04
-1.583864737863378003e-01,2.107223306048453047e-04
-1.552301073727510583e-01,2.223707420363135257e-04
-1.520737409591643163e-01,2.345781575118404468e-04
-1.489173745455775744e-01,2.474215155826405476e-04
-1.457610081319908324e-01,2.609908636740252081e-04
-1.426046417184040349e-01,2.753894833003121671e-04
-1.394482753048172929e-01,2.907336655156905129e-04
-1.362919088912305510e-01,3.071520446207276207e-04
-1.331355424776438090e-01,3.247844104457801189e-04
-1.299791760640570670e-01,3.437799556042680821e-04
-1.268228096504703251e-01,3.642949773908904770e-04
-1.236664432368835276e-01,3.864901449846559213e-04
-1.205100768232967856e-01,4.105275578796298026e-04
-1.173537104097100436e-01,4.365679528367291781e-04
-1.141973439961233017e-01,4.647685507172113150e-04
-1.110409775825365042e-01,4.952821527860354432e-04
-1.078846111689497622e-01,5.282581757831178622e-04
-1.047282447553630202e-01,5.638463314939209719e-04
-1.015718783417762783e-01,6.022035860524182311e-04
-9.841551192818953631e-02,6.435048583251039549e-04
-9.525914551460279434e-02,6.879576267431748281e-04
-9.210277910101605237e-02,7.358202151440607552e-04
-8.894641268742931040e-02,7.874230428275161503e-04
-8.579004627384256843e-02,8.431915922998945399e-04
-8.263367986025582645e-02,9.036693261630655881e-04
-7.947731344666897346e-02,9.695383391604221182e-04
-7.632094703308223149e-02,1.041635232046452756e-03
-7.316458061949548952e-02,1.120959602761369177e-03
-7.000821420590874755e-02,1.208672711271900797e-03
-6.685184779232200558e-02,1.306084303770040263e-03
-6.369548137873526361e-02,1.414626262495277892e-03
-6.053911496514852164e-02,1.535812627322378403e-03
-5.738274855156177967e-02,1.671186532460315925e-03
-5.422638213797503770e-02,1.822255614553782918e-03
-5.107001572438829573e-02,1.990418370785280826e-03
-4.791364931080155376e-02,2.176884682896137665e-03
-4.475728289721481179e-02,2.382594208755313848e-03
-4.160091648362795880e-02,2.608136549548389048e-03
-3.844455007004121683e-02,2.853677043271354592e-03
-3.528818365645447486e-02,3.118891767917418827e-03
-3.213181724286773289e-02,3.402914939990279129e-03
-2.897545082928099092e-02,3.704301451489552029e-03
-2.581908441569424895e-02,4.021006871641997875e-03
-2.266271800210750698e-02,4.350386884146601775e-03
-1.950635158852076501e-02,4.689217825690940832e-03
-1.634998517493402304e-02,5.033739678480680241e-03
-1.319361876134728107e-02,5.379722453708644415e-03
-1.003725234776053910e-02,5.722556276010536645e-03
-6.880885934173797125e-03,6.057364549166821370e-03
-3.724519520586944132e-03,6.379138306492058638e-03
-5.681531070002021622e-04,6.682888254133822169e-03
2.588213306586539808e-03,6.963809215989279038e-03
5.744579720173281778e-03,7.217449880081280335e-03
8.900946133760023748e-03,7.439879181183728547e-03
1.205731254734676572e-02,7.627839606266601999e-03
1.521367896093350769e-02,7.778877423296587032e-03
1.837004537452024966e-02,7.891440479841286063e-03
2.152641178810699163e-02,7.964935850865575290e-03
2.468277820169373360e-02,7.999742154092387078e-03
2.783914461528047557e-02,7.997174580110425965e-03
3.099551102886732856e-02,7.959404276399023245e-03
3.415187744245407053e-02,7.889337286948074415e-03
3.730824385604081250e-02,7.790461380556828498e-03
4.046461026962755447e-02,7.666671449900328700e-03
4.362097668321429644e-02,7.522085480118663979e-03
4.677734309680103841e-02,7.360863255672858360e-03
4.993370951038778038e-02,7.187039030360322864e-03
5.309007592397452235e-02,7.004377495826878686e-03
5.624644233756126432e-02,6.816259819876807798e-03
5.940280875114800629e-02,6.625603615931915588e-03
6.255917516473474826e-02,6.434817784592310186e-03
6.571554157832149023e-02,6.245790533469834475e-03
6.887190799190834323e-02,6.059906754184819083e-03
7.202827440549508520e-02,5.878089444414425803e-03
7.518464081908182717e-02,5.700859041950149045e-03
7.834100723266856914e-02,5.528404338450806227e-03
8.149737364625531111e-02,5.360658955330423192e-03
8.465374005984205308e-02,5.197378053602649123e-03
8.781010647342879505e-02,5.038210868569971586e-03
9.096647288701553702e-02,4.882765679294362796e-03
9.412283930060227899e-02,4.730664840183298678e-03
9.727920571418902096e-02,4.581588448687181313e-03
1.004355721277757629e-01,4.435306060046856347e-03
1.035919385413626159e-01,4.291696571467989475e-03
1.067483049549493579e-01,4.150756982741774480e-03
1.099046713685360999e-01,4.012601203595308336e-03
1.130610377821228418e-01,3.877450426445316293e-03
1.162174041957095838e-01,3.745616821678395686e-03
1.193737706092963258e-01,3.617482444436092518e-03
1.225301370228830677e-01,3.493475270346330618e-03
1.256865034364698097e-01,3.374044207949216095e-03
1.288428698500565517e-01,3.259634776621250351e-03
1.319992362636432937e-01,3.150666903895809647e-03
1.351556026772300356e-01,3.047516002585078532e-03
1.383119690908167776e-01,2.950498156300820993e-03
1.414683355044036306e-01,2.859859893493631698e-03
1.446247019179903726e-01,2.775772686466402520e-03
1.477810683315771145e-01,2.698331992972327620e-03
1.509374347451638565e-01,2.627560381523885106e-03
1.540938011587505985e-01,2.563414061662281154e-03
1.572501675723373404e-01,2.505791987413536186e-03
1.604065339859240824e-01,2.454546621505297472e-03
1.635629003995108244e-01,2.409495439866365767e-03
1.667192668130975663e-01,2.370432315140054685e-03
1.698756332266843083e-01,2.337138033791466042e-03
1.730319996402710503e-01,2.309389358998549004e-03
1.761883660538577923e-01,2.286966233385166747e-03
1.793447324674446453e-01,2.269656903854055507e-03
1.825010988810313872e-01,2.257260929088105144e-03
1.856574652946181292e-01,2.249590186020686798e-03
1.888138317082048712e-01,2.246468116562103882e-03
1.919701981217916131e-01,2.247727546547648430e-03
1.951265645353783551e-01,2.253207465531363151e-03
1.982829309489650971e-01,2.262749181511659533e-03
2.014392973625518390e-01,2.276192262974996178e-03
2.045956637761385810e-01,2.293370655884261269e-03
2.077520301897253230e-01,2.314109319157062281e-03
2.109083966033120650e-01,2.338221662121592066e-03
2.140647630168989179e-01,2.365507994848798159e-03
2.172211294304856599e-01,2.395755121099322257e-03
2.203774958440724019e-01,2.428737118664397142e-03
2.235338622576591439e-01,2.464217268467203212e-03
2.266902286712458858e-01,2.501951017281273289e-03
2.298465950848326278e-01,2.541689793866922908e-03
2.330029614984193698e-01,2.583185447756702370e-03
2.361593279120061117e-01,2.626195044969234938e-03
2.393156943255928537e-01,2.670485735014638783e-03
2.424720607391795957e-01,2.715839396964900895e-03
2.456284271527663376e-01,2.762056777199236538e-03
2.487847935663530796e-01,2.808960846463156615e-03
2.519411599799399326e-01,2.856399129059794453e-03
2.550975263935266746e-01,2.904244793529899178e-03
2.582538928071134166e-01,2.952396343941187957e-03
2.614102592207001585e-01,3.000775815556281159e-03
2.645666256342869005e-01,3.049325458510134673e-03
2.677229920478736425e-01,3.098002986345985664e-03
2.708793584614603844e-01,3.146775568238040482e-03
2.740357248750471264e-01,3.195612847261574720e-03
2.771920912886338684e-01,3.244479362870425748e-03
2.803484577022206103e-01,3.293326833570427593e-03
2.835048241158073523e-01,3.342086805745792758e-03
2.866611905293940943e-01,3.390664188609158504e-03
2.898175569429809473e-01,3.438932168245171714e-03
2.929739233565676892e-01,3.486728924673783859e-03
2.961302897701544312e-01,3.533856468232258238e-03
2.992866561837411732e-01,3.580081773237468127e-03
3.024430225973279152e-01,3.625140229430809206e-03
3.055993890109146571e-01,3.668741269138760860e-03
3.087557554245013991e-01,3.710575875179953492e-03
3.119121218380881411e-01,3.750325544956935146e-03
3.150684882516748830e-01,3.787672190736006590e-03
3.182248546652616250e-01,3.822308401591425001e-03
3.213812210788483670e-01,3.853947481040953093e-03
3.245375874924352200e-01,3.882332703790054938e-03
3.276939539060219619e-01,3.907245299581109214e-03
3.308503203196087039e-01,3.928510764165074609e-03
3.340066867331954459e-01,3.946003208465794117e-03
3.371630531467821879e-01,3.959647579172086325e-03
3.403194195603689298e-01,3.969419710376637794e-03
3.434757859739556718e-01,3.975344290680879987e-03
3.466321523875424138e-01,3.977490948124280667e-03
3.497885188011291557e-01,3.975968761084315226e-03
3.529448852147158977e-01,3.970919591061654319e-03
3.561012516283026397e-01,3.962510696648398507e-03
3.592576180418893816e-01,3.950927120665936355e-03
3.624139844554762346e-01,3.936364339307970098e-03
3.655703508690629766e-01,3.919021620513538084e-03
3.687267172826497186e-01,3.899096459843896367e-03
3.718830836962364605e-01,3.876780351384933980e-03
3.750394501098232025e-01,3.852256018559129577e-03
3.781958165234099445e-01,3.825696088522395535e-03
3.813521829369966865e-01,3.797263059116485519e-03
3.845085493505834284e-01,3.767110293884867560e-03
3.876649157641702814e-01,3.735383700725989492e-03
3.908212821777570234e-01,3.702223711481728279e-03
3.939776485913437654e-01,3.667767186026390635e-03
3.971340150049305073e-01,3.632148912639060652e-03
4.002903814185172493e-01,3.595502459097788851e-03
4.034467478321039913e-01,3.557960234755152586e-03
4.066031142456907332e-01,3.519652739417170138e-03
4.097594806592774752e-01,3.480707086306594669e-03
4.129158470728642172e-01,3.441244981135116714e-03
4.160722134864509592e-01,3.401380407366402618e-03
4.192285799000377011e-01,3.361217302826330095e-03
4.223849463136244431e-01,3.320847512841211806e-03
4.255413127272111851e-01,3.280349272320375997e-03
4.286976791407979270e-01,3.239786409739522401e-03
4.318540455543846690e-01,3.199208388856873177e-03
4.350104119679714110e-01,3.158651219795034337e-03
4.381667783815581529e-01,3.118139190450217903e-03
4.413231447951448949e-01,3.077687301089140123e-03
4.444795112087316369e-01,3.037304235649618094e-03
4.476358776223183789e-01,2.996995675261914221e-03
4.507922440359051208e-01,2.956767751760510082e-03
4.539486104494920848e-01,2.916630447336249557e-03
4.571049768630788268e-01,2.876600765110243381e-03
4.602613432766655688e-01,2.836705518183910840e-03
4.634177096902523108e-01,2.796983606860430679e-03
4.665740761038390527e-01,2.757487672881471768e-03
4.697304425174257947e-01,2.718285036183563496e-03
4.728868089310125367e-01,2.679457836859599085e-03
4.760431753445992786e-01,2.641102327140409586e-03
4.791995417581860206e-01,2.603327289617109706e-03
4.823559081717727626e-01,2.566251601239473001e-03
4.855122745853595045e-01,2.530001017514542372e-03
4.886686409989462465e-01,2.494704313915116489e-03
4.918250074125329885e-01,2.460488984638872865e-03
4.949813738261197305e-01,2.427476753233466511e-03
4.981377402397064724e-01,2.395779185513262528e-03
5.012941066532932144e-01,2.365493704525828498e-03
5.044504730668799564e-01,2.336700285380262972e-03
5.076068394804666983e-01,2.309459054465106721e-03
5.107632058940534403e-01,2.283808937885598630e-03
5.139195723076401823e-01,2.259767407152821640e-03
5.170759387212269242e-01,2.237331268491926563e-03
5.202323051348136662e-01,2.216478348768267763e-03
5.233886715484004082e-01,2.197169857883453196e-03
5.265450379619873722e-01,2.179353163387530695e-03
5.297014043755741142e-01,2.162964702413676995e-03
5.328577707891608561e-01,2.147932778430584715e-03
5.360141372027475981e-01,2.134180040770896920e-03
5.391705036163343401e-01,2.121625514995484438e-03
5.423268700299210821e-01,2.110186131453541634e-03
5.454832364435078240e-01,2.099777777053487247e-03
5.486396028570945660e-01,2.090315961512774923e-03
5.517959692706813080e-01,2.081716236663249276e-03
5.549523356842680499e-01,2.073894531109236623e-03
5.581087020978547919e-01,2.066767561165408149e-03
5.612650685114415339e-01,2.060253453987918610e-03
5.644214349250282758e-01,2.054272674132632311e-03
5.675778013386150178e-01,2.048749286281762935e-03
5.707341677522017598e-01,2.043612521678368679e-03
5.738905341657885018e-01,2.038798551535289313e-03
5.770469005793752437e-01,2.034252314941464249e-03
5.802032669929619857e-01,2.029929208516239626e-03
5.833596334065487277e-01,2.025796426014552041e-03
5.865159998201354696e-01,2.021833742241815109e-03
5.896723662337222116e-01,2.018033568688538341e-03
5.928287326473089536e-01,2.014400167145762033e-03
5.959850990608956955e-01,2.010947988031719716e-03
5.991414654744824375e-01,2.007699194959084409e-03
6.022978318880694015e-01,2.004680536174285529e-03
6.054541983016561435e-01,2.001919815031879667e-03
6.086105647152428855e-01,1.999442283246378755e-03
6.117669311288296274e-01,1.997267321077794613e-03
6.149232975424163694e-01,1.995405769611682551e-03
6.180796639560031114e-01,1.993858238151984940e-03
6.212360303695898534e-01,1.992614626235821203e-03
6.243923967831765953e-01,1.991654982376756585e-03
6.275487631967633373e-01,1.990951682784742292e-03
6.307051296103500793e-01,1.990472768816265500e-03
6.338614960239368212e-01,1.990186148828626631e-03
6.370178624375235632e-01,1.990064264385982013e-03
6.401742288511103052e-01,1.990088755098277408e-03
6.433305952646970471e-01,1.990254638718360215e-03
6.464869616782837891e-01,1.990573555897062145e-03
6.496433280918705311e-01,1.991075709166270549e-03
6.527996945054572731e-01,1.991810245473707441e-03
6.559560609190440150e-01,1.992843979463870471e-03
6.591124273326307570e-01,1.994258516828424296e-03
6.622687937462174990e-01,1.996145998374295079e-03
6.654251601598042409e-01,1.998603830800049688e-03
6.685815265733909829e-01,2.001728885194507899e-03
6.717378929869777249e-01,2.005611716422178118e-03
6.748942594005646889e-01,2.010331376138415737e-03
6.780506258141514309e-01,2.015951353453530534e-03
6.812069922277381728e-01,2.022517079695168151e-03
6.843633586413249148e-01,2.030055282890114773e-03
6.875197250549116568e-01,2.038575285729831224e-03
6.906760914684983987e-01,2.048072126437595376e-03
6.938324578820851407e-01,2.058531168651982733e-03
6.969888242956718827e-01,2.069933680302689979e-03
7.001451907092586247e-01,2.082262727918370200e-03
7.033015571228453666e-01,2.095508672858281077e-03
7.064579235364321086e-01,2.109673582477858758e-03
7.096142899500188506e-01,2.124773984106320679e-03
7.127706563636055925e-01,2.140841582359799804e-03
7.159270227771923345e-01,2.157921808108830431e-03
7.190833891907790765e-01,2.176070338157949126e-03
7.222397556043658184e-01,2.195347980907138771e-03
7.253961220179525604e-01,2.215814527847415061e-03
7.285524884315393024e-01,2.237522292977247532e-03
7.317088548451260444e-01,2.260510083147284060e-03
7.348652212587127863e-01,2.284798258426153084e-03
7.380215876722995283e-01,2.310385365864894239e-03
7.411779540858862703e-01,2.337246590396665873e-03
7.443343204994730122e-01,2.365334001217747010e-03
7.474906869130599762e-01,2.394578322807379422e-03
7.506470533266467182e-01,2.424891765112279721e-03
7.538034197402334602e-01,2.456171335306577257e-03
7.569597861538202022e-01,2.488302036688884531e-03
7.601161525674069441e-01,2.521159434374812408e-03
7.632725189809936861e-01,2.554611212639981612e-03
7.664288853945804281e-01,2.588517534271536549e-03
7.695852518081671700e-01,2.622730203015410672e-03
7.727416182217539120e-01,2.657090794002521690e-03
7.758979846353406540e-01,2.691428030876592131e-03
7.790543510489273960e-01,2.725554742133271761e-03
7.822107174625141379e-01,2.759264726421454227e-03
7.853670838761008799e-01,2.792329811839003653e-03
7.885234502896876219e-01,2.824497328373609152e-03
7.916798167032743638e-01,2.855488146664597778e-03
7.948361831168611058e-01,2.884995386141281717e-03
7.979925495304478478e-01,2.912683868649618927e-03
8.011489159440345897e-01,2.938190387774801231e-03
8.043052823576213317e-01,2.961124869588130110e-03
8.074616487712080737e-01,2.981072504365174600e-03
8.106180151847948157e-01,2.997596919144604119e-03
8.137743815983815576e-01,3.010244431485837539e-03
8.169307480119682996e-01,3.018549376940099938e-03
8.200871144255552636e-01,3.022040445641070629e-03
8.232434808391420056e-01,3.020247911084306298e-03
8.263998472527287475e-01,3.012711601188614897e-03
8.295562136663154895e-01,2.998989458476813887e-03
8.327125800799022315e-01,2.978666564897443532e-03
8.358689464934889735e-01,2.951364559678201945e-03
8.390253129070757154e-01,2.916751438749553161e-03
8.421816793206624574e-01,2.874551769031414867e-03
8.453380457342491994e-01,2.824557357021909975e-03
8.484944121478359413e-01,2.766638360732793546e-03
8.516507785614226833e-01,2.700754719558873512e-03
8.548071449750094253e-01,2.626967604200242806e-03
8.579635113885961673e-01,2.545450378420387790e-03
8.611198778021829092e-01,2.456498348078029609e-03
8.642762442157696512e-01,2.360536389273754174e-03
8.674326106293563932e-01,2.258123435890683258e-03
8.705889770429431351e-01,2.149952800285531967e-03
8.737453434565298771e-01,2.036847420166225647e-03
8.769017098701166191e-01,1.919749374077062620e-03
8.800580762837033610e-01,1.799703373556334456e-03
8.832144426972901030e-01,1.677834390916141481e-03
8.863708091108768450e-01,1.555320073080448170e-03
8.895271755244635870e-01,1.433359071241381002e-03
8.926835419380503289e-01,1.313136829075100577e-03
8.958399083516372929e-01,1.195790670254388626e-03
8.989962747652240349e-01,1.082376172167597147e-03
9.021526411788107769e-01,9.738367868513265590e-04
9.053090075923975188e-01,8.709784711604909475e-04
9.084653740059842608e-01,7.744507345595353634e-04
9.116217404195710028e-01,6.847350402076379013e-04
9.147781068331577448e-01,6.021409515015061983e-04
9.179344732467444867e-01,5.268098568700088028e-04
9.210908396603312287e-01,4.587255852181446113e-04
9.242472060739179707e-01,3.977307911582805464e-04
9.274035724875047126e-01,3.435476790913010239e-04
9.305599389010914546e-01,2.958014686308889189e-04
9.337163053146781966e-01,2.540449840747209987e-04
9.368726717282649386e-01,2.177828648559652143e-04
9.400290381418516805e-01,1.864941164153590899e-04
9.431854045554384225e-01,1.596520174654561194e-04
9.463417709690251645e-01,1.367407325140868718e-04
9.494981373826119064e-01,1.172683116161158350e-04
9.526545037961986484e-01,1.007760620042325169e-04
9.558108702097853904e-01,8.684452608768651377e-05
9.589672366233721323e-01,7.509648423433649424e-05
9.621236030369588743e-01,6.519751477893487160e-05
9.652799694505456163e-01,5.685469154326254970e-05
9.684363358641325803e-01,4.981399018286367336e-05
9.715927022777193223e-01,4.385692165590890156e-05
9.747490686913060642e-01,3.879682810577330456e-05
9.779054351048928062e-01,3.447517713778641782e-05
9.810618015184795482e-01,3.075808698064448122e-05
9.842181679320662901e-01,2.753321726793726243e-05
9.873745343456530321e-01,2.470707558350866551e-05
9.905309007592397741e-01,2.220272341795129399e-05
9.936872671728265161e-01,1.995781934640097378e-05
9.968436335864132580e-01,1.792291244819612053e-05
1.000000000000000000e+00,1.605989369304723909e-05
